Year,Fruits_A,Fruits_P,Fruits_Pdy,Veg_A,Veg_P,Veg_Pdy,FAM_A,FAM_P,FAM_Pdy,Plantation_Crops_A,Plantation_Crops_P,Plantation_Crops_Pdy,Spices_A,Spices_P,Spices_Pdy,Total_A,Total_P,Total_Pdy
1991-92,2874,28632,9.96,5593,58532,10.47,Nil,Nil,Nil,2298,7498,3.26,2005,1900,0.95,12770,96562,7.56
2001-02,4010,43001,10.72,6156,88622,14.4,106,535,5.05,2984,9697,3.25,3220,3765,1.17,16592,145785,8.79
2002-03,3788,45203,11.93,6092,84815,13.92,70,735,10.5,2984,9697,3.25,3220,3765,1.17,16270,144380,8.87
2003-04,4661,45942,9.86,6082,88334,14.52,101,580,5.74,3102,13161,4.24,5155,5113,0.99,19208,153302,7.98
2004-05,5155,50988,9.89,6744,101246,15.01,249,818,3.29,3147,9835,3.13,3150,4001,1.27,18445,166939,9.05
2005-06,5324,55356,10.4,7213,111399,15.44,391,856,2.19,3283,11263,3.43,2366,3705,1.57,18707,182816,9.77
2006-07,5554,59563,10.72,7581,114993,15.17,468,1058,2.26,3207,12007,3.74,2448,3953,1.61,19389,191813,9.89
2007-08,5857,65587,11.2,7848,128449,16.37,563,1264,2.25,3190,11300,3.54,2617,4357,1.66,20207,211235,10.45
2008-09,6101,68466,11.22,7981,129077,16.17,597,1417,2.37,3217,11336,3.52,2629,4145,1.58,20662,214716,10.39
2009-10,6329,71516,11.3,7985,133738,16.75,692,1593,2.3,3265,11928,3.65,2464,4016,1.63,20876,223089,10.69
2010-11,6383,74878,11.73,8495,146554,17.25,701,1636,2.33,3306,12007,3.63,2940,5350,1.82,21825,240531,11.02
2011-12,6705,76424,11.4,8989,156325,17.39,760,2218,2.92,3577,16359,4.57,3212,5951,1.85,23243,257277,11.07
2012-13,6982,81285,11.64,9205,162187,17.62,790,2647,3.35,3641,16985,4.66,3076,5744,1.87,23694,268848,11.35
2013-14,7216,88977,12.33,9396,162897,17.34,748,3192,4.27,3675,16301,4.44,3163,5908,1.87,24198,277352,11.46
2014-15,6110,86602,14.17,9542,169478,17.76,908,3143,3.46,3534,15575,4.41,3317,6108,1.84,23410,280986,12
2015-16,6301,90183,14.31,10106,169064,16.73,912,3206,3.52,3680,16658,4.53,3474,6988,2.01,24472,286188,11.69
2016-17,6373,92918,14.58,10238,178172,17.4,970,3364,3.47,3598,17972,4.99,3671,8122,2.21,24851,300643,12.1
2017-18,6506,97358,14.96,10259,184394,17.97,1044,3651,3.49,3744,18082,4.83,3878,8124,2.09,25431,311714,12.25
